                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.95711,                  2.137,                 0.9493,                 1.0838,                0.83808,                0.71206,                0.80738,                0.62977,                0.81571,                0.67648,                0.75225,                0.51367,                0.91192,                 2.0274,                0.73559,                 1.0153,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.93524,                 2.1424,                0.95693,                  1.057,                 0.8329,                0.72341,                0.80971,                0.64035,                 0.8294,                0.67843,                 0.7598,                0.51383,                0.90429,                 2.0152,                0.72841,                 1.0139,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.94031,                 2.0728,                 0.8845,                 1.0631,                0.85809,                0.72358,                0.81464,                0.64085,                0.81472,                0.68605,                0.76024,                0.51679,                0.89738,                 2.0052,                0.72316,                 1.0083,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.99869,                 2.2564,                0.92026,                 1.0711,                0.87126,                0.72127,                0.81806,                0.63975,                 0.8367,                0.68408,                0.76208,                0.51864,                0.89526,                 1.9872,                0.71322,                 1.0062,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.93595,                 2.1306,                0.91414,                 1.0638,                0.88207,                0.72937,                0.82161,                0.64761,                0.84462,                0.69357,                0.76393,                0.52171,                0.88433,                 1.9754,                0.70109,                 1.0006,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.95861,                 2.1525,                0.92222,                 1.0696,                0.87097,                0.73594,                0.82596,                0.64933,                0.83921,                0.69612,                0.76896,                0.52163,                 0.8771,                 1.9661,                0.69181,                0.99649,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                 1.0285,                 2.2455,                 0.9636,                 1.0716,                0.86678,                0.74993,                0.83222,                 0.6567,                0.83587,                0.70822,                0.77978,                0.53006,                0.87067,                  1.952,                0.68311,                0.99387,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.91481,                 2.0168,                0.87079,                 1.0408,                 0.8085,                 0.7752,                0.83511,                0.65958,                 0.8301,                0.70696,                0.78272,                0.53325,                0.86519,                 1.9422,                0.68247,                0.99312,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.91316,                 2.0309,                 0.8603,                 1.0426,                0.83453,                 0.7664,                 0.8364,                0.66115,                0.80002,                0.72452,                0.78058,                 0.5369,                0.85962,                 1.9322,                0.67942,                0.99046,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.91861,                 2.0615,                0.88477,                 1.0331,                0.85135,                0.74977,                0.83283,                 0.6629,                0.81438,                0.71004,                0.78839,                 0.5386,                0.85607,                 1.9264,                0.67359,                0.98596,             8.3657e-05,             8.3657e-05,             8.3657e-05
