epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,10.0905,0.40838,3.13385,0.86015,0.05897,0.88889,0.22174,0.19845,0.45161,3.26934,0.83911,0.000232124,0.000232124,0.000232124
36,10.4129,0.56406,3.23178,0.95332,0.05897,0.88889,0.22174,0.19845,0.45161,3.26934,0.83911,0.000238063,0.000238063,0.000238063
37,10.6955,0.4856,3.11993,0.90486,0.05749,0.92593,0.2328,0.20907,0.48023,3.2597,0.84452,0.000243951,0.000243951,0.000243951
38,10.9709,0.53342,3.22403,0.91263,0.05749,0.92593,0.2328,0.20907,0.48023,3.2597,0.84452,0.000249789,0.000249789,0.000249789
39,11.2455,0.57183,3.17756,0.94904,0.05749,0.92593,0.2328,0.20907,0.48023,3.2597,0.84452,0.000255576,0.000255576,0.000255576
40,11.52,0.46779,3.16101,0.89467,0.05749,0.92593,0.2328,0.20907,0.48023,3.2597,0.84452,0.000261312,0.000261312,0.000261312
41,11.7993,0.54517,3.2734,0.90574,0.05749,0.92593,0.2328,0.20907,0.48023,3.2597,0.84452,0.000266997,0.000266997,0.000266997
42,12.0873,0.52515,3.18646,0.92531,0.05845,1,0.29325,0.26367,0.43885,3.24501,0.83781,0.000272631,0.000272631,0.000272631
43,12.4564,0.4864,3.14961,0.90432,0.05845,1,0.29325,0.26367,0.43885,3.24501,0.83781,0.000278215,0.000278215,0.000278215
44,12.7959,0.5997,3.25121,0.94505,0.05845,1,0.29325,0.26367,0.43885,3.24501,0.83781,0.000283748,0.000283748,0.000283748
45,13.115,0.4271,3.04679,0.91438,0.05845,1,0.29325,0.26367,0.43885,3.24501,0.83781,0.00028923,0.00028923,0.00028923
46,13.3956,0.50866,3.05146,0.98112,0.05845,1,0.29325,0.26367,0.43885,3.24501,0.83781,0.000294662,0.000294662,0.000294662
47,13.6738,0.47422,3.10708,0.91626,0.05889,1,0.42127,0.38434,0.41544,3.2248,0.8374,0.000300042,0.000300042,0.000300042
48,13.9487,0.44072,2.98098,0.88199,0.05889,1,0.42127,0.38434,0.41544,3.2248,0.8374,0.000305372,0.000305372,0.000305372
49,14.2041,0.59889,3.09422,0.96026,0.05889,1,0.42127,0.38434,0.41544,3.2248,0.8374,0.000310651,0.000310651,0.000310651
50,14.4755,0.4737,2.99099,0.90492,0.05889,1,0.42127,0.38434,0.41544,3.2248,0.8374,0.00031588,0.00031588,0.00031588
51,14.7968,0.5176,3.06828,0.85112,0.05889,1,0.42127,0.38434,0.41544,3.2248,0.8374,0.000321058,0.000321058,0.000321058
52,15.0632,0.49127,3.04154,0.93549,0.05889,1,0.42127,0.38434,0.41544,3.2248,0.8374,0.000326184,0.000326184,0.000326184
53,15.3499,0.51798,3.13607,0.88544,0.05708,1,0.47486,0.43881,0.38806,3.18748,0.83621,0.000331261,0.000331261,0.000331261
54,15.6276,0.45015,2.96135,0.91199,0.05708,1,0.47486,0.43881,0.38806,3.18748,0.83621,0.000336286,0.000336286,0.000336286
55,15.901,0.52945,3.03329,0.97424,0.05708,1,0.47486,0.43881,0.38806,3.18748,0.83621,0.000341261,0.000341261,0.000341261
56,16.1818,0.4447,2.88937,0.88796,0.05708,1,0.47486,0.43881,0.38806,3.18748,0.83621,0.000346185,0.000346185,0.000346185
57,16.4582,0.49472,3.0165,0.91292,0.05708,1,0.47486,0.43881,0.38806,3.18748,0.83621,0.000351058,0.000351058,0.000351058
58,16.7898,0.43728,3.04965,0.84904,0.05708,1,0.47486,0.43881,0.38806,3.18748,0.83621,0.00035588,0.00035588,0.00035588
59,17.0606,0.5,2.98107,0.93987,0.05708,1,0.47486,0.43881,0.38806,3.18748,0.83621,0.000360652,0.000360652,0.000360652
60,17.3455,0.42151,2.99564,0.86757,0.05383,1,0.55647,0.51811,0.38928,3.12383,0.83066,0.000365373,0.000365373,0.000365373
61,17.6249,0.46824,2.92961,0.91452,0.05383,1,0.55647,0.51811,0.38928,3.12383,0.83066,0.000370043,0.000370043,0.000370043
62,17.9035,0.48243,2.97405,0.89116,0.05383,1,0.55647,0.51811,0.38928,3.12383,0.83066,0.000374662,0.000374662,0.000374662
63,18.1808,0.45954,2.8686,0.86449,0.05383,1,0.55647,0.51811,0.38928,3.12383,0.83066,0.000379231,0.000379231,0.000379231
64,18.5037,0.55813,2.95242,0.94893,0.05383,1,0.55647,0.51811,0.38928,3.12383,0.83066,0.000383749,0.000383749,0.000383749
65,18.8204,0.43899,2.92405,0.92197,0.05383,1,0.55647,0.51811,0.38928,3.12383,0.83066,0.000388216,0.000388216,0.000388216
66,19.2126,0.57469,2.96959,0.87648,0.05383,1,0.55647,0.51811,0.38928,3.12383,0.83066,0.000392632,0.000392632,0.000392632
67,19.5451,0.51863,2.83157,0.92071,0.04858,1,0.68613,0.64558,0.3525,3.02567,0.81867,0.000396998,0.000396998,0.000396998
68,19.8065,0.3984,2.75356,0.86443,0.04858,1,0.68613,0.64558,0.3525,3.02567,0.81867,0.000401313,0.000401313,0.000401313
69,20.0807,0.436,2.77471,0.9015,0.04858,1,0.68613,0.64558,0.3525,3.02567,0.81867,0.000405577,0.000405577,0.000405577
70,20.3395,0.50055,2.87383,0.89884,0.04858,1,0.68613,0.64558,0.3525,3.02567,0.81867,0.00040979,0.00040979,0.00040979
71,20.6036,0.43033,2.79117,0.86857,0.04858,1,0.68613,0.64558,0.3525,3.02567,0.81867,0.000413953,0.000413953,0.000413953
72,20.8622,0.46545,2.78967,0.93075,0.04858,1,0.68613,0.64558,0.3525,3.02567,0.81867,0.000418065,0.000418065,0.000418065
73,21.1854,0.36218,2.75863,0.88859,0.04858,1,0.68613,0.64558,0.3525,3.02567,0.81867,0.000422126,0.000422126,0.000422126
74,21.4561,0.49735,2.87067,0.90705,0.04858,1,0.68613,0.64558,0.3525,3.02567,0.81867,0.000426136,0.000426136,0.000426136
75,21.7296,0.47308,2.76689,0.94747,0.04383,1,0.67722,0.63496,0.37196,2.87341,0.81803,0.000430096,0.000430096,0.000430096
76,21.9898,0.499,2.77922,0.92626,0.04383,1,0.67722,0.63496,0.37196,2.87341,0.81803,0.000434004,0.000434004,0.000434004
77,22.2508,0.34093,2.68151,0.91856,0.04383,1,0.67722,0.63496,0.37196,2.87341,0.81803,0.000437862,0.000437862,0.000437862
78,22.5133,0.47159,2.68007,0.93572,0.04383,1,0.67722,0.63496,0.37196,2.87341,0.81803,0.00044167,0.00044167,0.00044167
79,22.7708,0.45832,2.6991,0.90017,0.04383,1,0.67722,0.63496,0.37196,2.87341,0.81803,0.000445426,0.000445426,0.000445426
80,23.0884,0.46577,2.72458,0.86302,0.04383,1,0.67722,0.63496,0.37196,2.87341,0.81803,0.000449132,0.000449132,0.000449132
81,23.4019,0.3868,2.54235,0.87355,0.04383,1,0.67722,0.63496,0.37196,2.87341,0.81803,0.000452787,0.000452787,0.000452787
82,23.7359,0.4564,2.74937,0.91976,0.04383,1,0.67722,0.63496,0.37196,2.87341,0.81803,0.000456392,0.000456392,0.000456392
83,23.9921,0.44157,2.68514,0.91359,0.04383,1,0.67722,0.63496,0.37196,2.87341,0.81803,0.000459945,0.000459945,0.000459945
84,24.2651,0.43338,2.7562,0.88863,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.000463448,0.000463448,0.000463448
85,24.5206,0.3938,2.50652,0.93454,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.0004669,0.0004669,0.0004669
