                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.93213,                 2.1353,                  0.943,                 1.0539,                0.82892,                0.71703,                0.82548,                0.63759,                0.78854,                0.68583,                0.75915,                0.51397,                0.90586,                 2.0115,                0.72549,                 1.0119,             0.00011036,             0.00011036,             0.00011036
                     25,                 0.9355,                 2.0617,                0.87856,                 1.0574,                0.85243,                0.72556,                0.82849,                0.64219,                0.83658,                0.67231,                0.76561,                0.51598,                0.89641,                 1.9955,                0.71689,                 1.0071,             0.00010997,             0.00010997,             0.00010997
                     26,                0.99465,                 2.2363,                0.91322,                 1.0708,                0.87664,                0.72845,                0.82732,                0.64809,                0.84937,                0.68627,                0.77235,                0.52124,                0.88571,                  1.979,                0.70752,                 1.0034,             0.00010958,             0.00010958,             0.00010958
                     27,                0.93776,                 2.1275,                0.91115,                 1.0642,                 0.8476,                0.74892,                0.83066,                0.65278,                0.84027,                0.68589,                0.77265,                0.52544,                0.87636,                  1.969,                 0.7004,                0.99734,             0.00010918,             0.00010918,             0.00010918
                     28,                0.95342,                 2.1368,                 0.9141,                 1.0647,                0.87298,                0.72795,                0.83321,                0.66003,                0.83175,                0.69897,                0.78241,                 0.5297,                0.86785,                 1.9539,                0.68693,                0.99263,             0.00010879,             0.00010879,             0.00010879
                     29,                 1.0266,                 2.2376,                0.96177,                 1.0704,                0.85452,                0.73846,                0.83517,                 0.6609,                0.83005,                0.70478,                0.77591,                0.52772,                0.86024,                 1.9417,                0.67886,                0.98926,              0.0001084,              0.0001084,              0.0001084
                     30,                0.90957,                 2.0023,                0.86049,                 1.0379,                0.88255,                0.73004,                0.83618,                0.66326,                0.84793,                0.70197,                0.78083,                0.53196,                0.86158,                 1.9342,                0.68112,                0.99105,               0.000108,               0.000108,               0.000108
                     31,                0.90859,                 2.0152,                0.85749,                 1.0392,                0.86533,                0.74602,                0.84015,                0.66674,                0.82564,                0.70618,                0.78888,                0.53418,                 0.8617,                 1.9333,                0.67696,                0.98934,             0.00010761,             0.00010761,             0.00010761
                     32,                0.91853,                 2.0411,                0.88064,                  1.033,                 0.8683,                0.74676,                0.85456,                0.67645,                0.87319,                0.71806,                0.79995,                0.54102,                0.85599,                 1.9183,                 0.6646,                 0.9839,             0.00010722,             0.00010722,             0.00010722
                     33,                0.95177,                 2.1929,                0.91051,                 1.0722,                 0.8507,                0.76451,                0.85853,                0.68211,                0.86903,                0.71359,                0.80209,                0.54559,                0.85144,                 1.9019,                0.65504,                0.97899,             0.00010683,             0.00010683,             0.00010683
                     34,                0.91657,                 2.1276,                0.83573,                 1.0353,                0.87811,                0.75828,                0.86216,                0.68668,                0.85923,                0.72858,                0.80848,                0.54524,                0.84663,                 1.8874,                0.65132,                0.97661,             0.00010643,             0.00010643,             0.00010643
                     35,                0.91317,                  2.065,                0.87047,                 1.0563,                0.87046,                0.77629,                0.86779,                0.68621,                0.84217,                0.73615,                0.80641,                0.54301,                0.84535,                 1.8834,                  0.647,                0.97756,             0.00010604,             0.00010604,             0.00010604
                     36,                0.91583,                 2.1222,                0.84729,                  1.058,                0.86242,                0.79504,                  0.863,                0.68826,                0.82319,                0.76013,                0.80956,                 0.5456,                0.84226,                 1.8785,                0.64394,                0.97722,             0.00010565,             0.00010565,             0.00010565
                     37,                0.91141,                 1.9917,                0.83976,                 1.0515,                 0.8689,                0.79773,                0.86384,                0.68555,                0.82337,                0.76239,                0.80562,                0.54698,                0.83997,                 1.8677,                0.64403,                0.97769,             0.00010526,             0.00010526,             0.00010526
                     38,                0.87272,                 1.9842,                0.83901,                 1.0353,                0.88601,                0.77495,                0.86387,                0.68447,                0.84032,                0.74459,                0.80824,                0.55078,                0.83415,                 1.8597,                0.63639,                0.97524,             0.00010486,             0.00010486,             0.00010486
                     39,                0.92542,                 2.0688,                0.81881,                 1.0424,                0.89335,                0.77976,                0.86682,                0.69375,                0.86519,                0.74671,                0.81227,                0.55489,                0.82863,                 1.8565,                0.62898,                0.97237,             0.00010447,             0.00010447,             0.00010447
                     40,                0.90111,                 2.0752,                 0.8244,                 1.0343,                0.89121,                0.78343,                0.87187,                0.69716,                0.86309,                0.74783,                0.81567,                0.55938,                0.82298,                 1.8477,                0.62631,                0.96932,             0.00010408,             0.00010408,             0.00010408
                     41,                0.87191,                 2.0331,                0.80624,                 1.0207,                0.86509,                 0.7821,                0.87706,                0.69805,                0.86224,                0.73655,                0.81197,                0.56243,                0.81579,                 1.8387,                0.62321,                0.96489,             0.00010368,             0.00010368,             0.00010368
                     42,                0.85186,                 1.9585,                0.77282,                 1.0184,                0.87282,                0.77916,                0.86737,                0.69816,                0.83377,                0.75139,                0.81585,                0.55903,                0.81314,                 1.8317,                0.62466,                0.96133,             0.00010329,             0.00010329,             0.00010329
                     43,                0.92237,                 2.0483,                 0.8316,                 1.0237,                   0.87,                0.78301,                0.87366,                0.69962,                0.86546,                0.74285,                0.82057,                0.56332,                0.81224,                 1.8291,                 0.6223,                0.96031,              0.0001029,              0.0001029,              0.0001029
                     44,                0.86778,                 2.0349,                0.81336,                  1.037,                0.89377,                0.76986,                0.87251,                0.70501,                0.87223,                0.74137,                0.82163,                0.56348,                0.80967,                 1.8268,                0.61451,                0.95758,             0.00010251,             0.00010251,             0.00010251
                     45,                0.90539,                 2.0278,                0.78953,                 1.0142,                0.90918,                0.77598,                0.87968,                 0.7094,                0.87573,                0.73971,                0.82754,                0.56688,                 0.8028,                 1.8166,                0.60746,                0.95421,             0.00010211,             0.00010211,             0.00010211
                     46,                0.87376,                 1.9688,                0.78324,                   1.03,                0.90419,                0.77603,                0.87754,                0.71373,                0.86504,                0.74159,                0.82848,                0.57288,                0.79269,                 1.8102,                0.60293,                0.94989,             0.00010172,             0.00010172,             0.00010172
                     47,                0.88968,                 1.9717,                0.79258,                 1.0358,                0.90408,                0.78387,                0.88064,                0.71981,                0.86306,                0.74787,                0.82303,                0.57196,                0.78954,                 1.8067,                0.60119,                0.94744,             0.00010133,             0.00010133,             0.00010133
                     48,                0.87491,                 2.0186,                0.79411,                 1.0201,                 0.8869,                0.79405,                0.88119,                0.72001,                0.86954,                0.74107,                0.82371,                0.57477,                0.78464,                 1.8068,                0.59726,                0.94562,             0.00010094,             0.00010094,             0.00010094
                     49,                0.88736,                 1.9706,                0.79498,                 1.0206,                0.90606,                0.78783,                0.88153,                0.71984,                0.85935,                0.74934,                0.82633,                0.57631,                0.78527,                 1.8089,                0.59467,                0.94495,             0.00010054,             0.00010054,             0.00010054
                     50,                0.83618,                 1.9786,                 0.7613,                  1.012,                0.88437,                0.80595,                0.88116,                0.71673,                 0.8431,                0.77065,                0.82775,                0.57455,                0.78076,                  1.801,                0.59466,                0.94373,             0.00010015,             0.00010015,             0.00010015
                     51,                0.90211,                 2.0382,                0.77698,                  1.026,                0.88357,                0.81178,                0.88039,                0.71557,                0.84411,                 0.7798,                 0.8293,                0.57866,                0.77649,                   1.79,                0.58971,                0.94195,             9.9758e-05,             9.9758e-05,             9.9758e-05
                     52,                0.87727,                  1.952,                0.79278,                 1.0212,                0.84922,                0.80889,                0.86834,                0.70945,                0.85397,                0.76238,                0.83038,                0.57721,                0.77638,                 1.7861,                0.58779,                0.94186,             9.9365e-05,             9.9365e-05,             9.9365e-05
                     53,                0.84839,                 1.9354,                0.75085,                0.99574,                0.87251,                0.81327,                0.88216,                0.71533,                0.87297,                0.76412,                0.83052,                0.57684,                0.77359,                 1.7771,                0.58545,                0.94161,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     54,                0.89867,                 2.0305,                0.79077,                  1.019,                0.89471,                0.80165,                0.88424,                 0.7192,                 0.8521,                0.76527,                0.83414,                0.57401,                0.77531,                 1.7677,                0.58529,                0.94096,              9.858e-05,              9.858e-05,              9.858e-05
                     55,                0.85715,                  1.938,                0.75836,                 1.0229,                0.89295,                0.80546,                0.88632,                0.72369,                0.86067,                0.76956,                0.83602,                0.57469,                0.77117,                 1.7481,                0.58284,                0.93891,             9.8187e-05,             9.8187e-05,             9.8187e-05
                     56,                0.85348,                   1.95,                0.74532,                 1.0113,                0.90753,                0.79967,                0.88532,                0.72202,                0.85639,                0.76264,                0.83052,                0.57398,                0.77051,                 1.7403,                0.58162,                0.94019,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     57,                 0.8384,                 1.9379,                0.74707,                 1.0195,                0.89736,                 0.8057,                0.88867,                0.72566,                0.86298,                0.76289,                0.83496,                0.57872,                0.77445,                 1.7392,                0.58397,                0.94328,             9.7402e-05,             9.7402e-05,             9.7402e-05
                     58,                0.85565,                 1.8778,                0.72945,                 1.0141,                 0.8986,                0.81592,                0.89116,                0.72806,                0.86183,                 0.7738,                0.83531,                0.57806,                0.76898,                 1.7325,                 0.5823,                0.94231,             9.7009e-05,             9.7009e-05,             9.7009e-05
                     59,                0.87816,                 1.9587,                0.74566,                   1.02,                0.88916,                0.82403,                0.89311,                 0.7275,                0.87045,                0.77438,                0.83491,                0.58249,                0.76035,                 1.7318,                0.57625,                 0.9391,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     60,                0.86113,                 2.0119,                0.77685,                 1.0126,                0.88388,                0.83951,                0.89528,                 0.7284,                0.86954,                0.77782,                0.83576,                0.58135,                0.75616,                 1.7334,                 0.5731,                0.93797,             9.6223e-05,             9.6223e-05,             9.6223e-05
                     61,                0.82647,                 1.8138,                0.74497,                 1.0103,                0.91171,                0.81723,                0.89716,                0.73008,                0.87322,                0.77444,                0.83564,                0.58543,                0.75036,                 1.7279,                0.56845,                0.93668,             9.5831e-05,             9.5831e-05,             9.5831e-05
                     62,                0.86167,                 1.9793,                0.76337,                0.99783,                 0.8961,                0.83466,                 0.8966,                0.73646,                0.86515,                0.79056,                0.84006,                0.59125,                0.74929,                 1.7212,                0.56389,                 0.9352,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     63,                0.80362,                 1.8856,                0.73534,                0.99779,                0.89296,                0.84979,                0.90232,                0.73913,                 0.8673,                0.79189,                0.84768,                 0.5928,                0.75437,                 1.7161,                0.56486,                0.93416,             9.5045e-05,             9.5045e-05,             9.5045e-05
                     64,                0.85912,                 1.9429,                0.75686,                 1.0051,                0.90242,                0.85003,                0.90272,                0.73471,                0.85644,                 0.7986,                0.84373,                0.59173,                0.75607,                 1.7158,                0.56411,                0.93363,             9.4653e-05,             9.4653e-05,             9.4653e-05
                     65,                0.89475,                 1.9999,                0.76631,                 1.0009,                0.88813,                0.85627,                0.90042,                  0.728,                0.85172,                0.80015,                0.84389,                0.58774,                0.75474,                 1.7303,                0.56878,                0.93145,              9.426e-05,              9.426e-05,              9.426e-05
                     66,                0.83816,                 1.9089,                0.74171,                 1.0065,                0.88496,                0.84792,                0.89908,                0.72278,                0.85284,                0.78694,                0.83857,                0.58378,                0.75463,                 1.7317,                0.56866,                0.93096,             9.3867e-05,             9.3867e-05,             9.3867e-05
                     67,                0.83644,                 1.8987,                0.73452,                 1.0012,                0.89433,                0.84761,                0.89949,                0.72712,                0.84944,                0.80336,                0.84989,                0.58937,                 0.7477,                 1.7092,                0.56052,                0.92932,             9.3475e-05,             9.3475e-05,             9.3475e-05
